Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
gily1242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
goan1235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
guaj1256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
guan1269,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
guar1293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
guev1238,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hava1248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
hela1238,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
high1276,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
hind1269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hual1241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
huas1242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hueh1236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
igna1246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
imon1245,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
inap1243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ines1240,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
iumi1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
jama1261,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
jaqa1244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jeru1240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
juan1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kaba1278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kama1367,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kama1373,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
kamb1303,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
karo1305,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
kaya1329,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
